walker	cdf_0	cdf_1	model1_0	model2_0	log_l	log_p
0	5.998001139e-01	2.119004085e+00	5.547670211e+00	5.728423989e-01	-1.392186461e+02	-7.481722136e+00
1	-2.627978456e+00	-1.895703956e-01	1.429500413e+00	-1.363294258e+00	-9.112930450e+01	-8.527856741e+00
2	8.845051050e-01	-2.290228510e+00	4.695248921e+00	1.740908035e+00	-2.155553751e+01	-8.070500846e+00
3	-2.210831663e-01	1.417211862e-01	3.345292268e+00	1.434358208e+00	-2.322777353e+01	-5.091234222e+00
4	1.981152167e-01	1.626741613e-01	2.376709744e+00	3.370934856e-01	-4.551064435e+01	-5.089609152e+00
5	-1.058600856e+00	3.513355045e-01	3.344630097e+00	-6.720977588e-02	-3.819836856e+01	-5.678789096e+00
6	2.394854307e+00	-1.397533022e+00	2.311965924e+00	2.029473353e+00	-4.535087945e+01	-8.900965742e+00
7	1.207775113e+00	-7.227603906e-03	4.641454401e+00	1.339223321e+00	-1.044852109e+01	-5.786139372e+00
8	-1.186786849e+00	4.188486918e-01	4.901102136e+00	-1.179544015e-01	-3.726619301e+01	-5.848701517e+00
9	-9.708350693e-02	-2.964780107e+00	5.425461711e+00	4.958556664e-01	-2.372395742e+01	-9.456426036e+00
10	-1.294370799e+00	-8.878396240e-01	4.380057453e+00	-3.026439842e-01	-2.969588694e+01	-6.288580373e+00
11	8.102731119e-01	7.090472853e-01	3.953640547e+00	2.239488696e+00	-8.606463454e+01	-5.636398176e+00
12	-9.929328294e-01	-7.644324628e-01	2.749110384e+00	2.137282808e+00	-4.647675967e+01	-5.841889188e+00
13	2.671965943e-01	1.671379145e-01	3.841490676e+00	8.344331585e-01	-2.014263750e+01	-5.106417443e+00
14	1.656292405e+00	-1.777738987e-01	1.034539902e+00	1.432849341e+00	-8.053007351e+01	-6.444206936e+00
15	7.987743309e-02	-2.628608228e-01	4.919528959e+00	-1.905656289e-01	-1.962180078e+01	-5.094491000e+00
