walker	cdf_0	cdf_1	log_l	log_p
0	-2.228580587e+00	1.346051607e+01	-1.115131749e+01	-7.377758908e+00
1	1.400055920e+01	-1.915442636e+01	-7.913074851e+00	-7.377758908e+00
2	-7.447908908e+00	4.587964337e+00	-1.139400418e+01	-7.377758908e+00
3	-3.153270342e+00	-1.733899889e+01	-1.139314561e+01	-7.377758908e+00
4	-3.733912355e+00	9.848457833e-01	-1.115448795e+01	-7.377758908e+00
5	1.112736246e+01	-7.620862917e+00	-8.324278165e+00	-7.377758908e+00
6	1.280391444e+01	-1.197312706e+01	-8.324277378e+00	-7.377758908e+00
7	-5.702172701e+00	1.960078628e+01	-2.316818451e+01	-7.377758908e+00
8	4.225033034e+00	1.891983612e+01	-8.324278168e+00	-7.377758908e+00
9	7.203701095e+00	1.711119023e+01	-8.324278167e+00	-7.377758908e+00
10	1.348041045e+00	1.251878541e+01	-8.329469582e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-6.994670971e+00	1.091641441e+01	-1.199891520e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	1.275730916e+01	4.207565583e+00	-8.324278167e+00	-7.377758908e+00
15	-1.011608099e+01	-9.759797317e+00	-1.139400239e+01	-7.377758908e+00
16	-1.556641704e+01	1.621564079e+01	-1.139400240e+01	-7.377758908e+00
17	8.900899191e+00	-5.161643438e+00	-8.324277877e+00	-7.377758908e+00
18	1.958851846e+01	1.667847608e+01	-8.324278167e+00	-7.377758908e+00
19	1.035986648e+01	4.394478453e+00	-8.324278167e+00	-7.377758908e+00
20	5.725830617e+00	5.643520227e+00	-8.324278167e+00	-7.377758908e+00
21	-3.976965315e+00	-6.417228181e+00	-1.139071833e+01	-7.377758908e+00
22	1.702893706e+01	3.241636082e+00	-8.324278167e+00	-7.377758908e+00
23	-1.591927723e+01	-1.098433494e+01	-1.139400239e+01	-7.377758908e+00
24	-1.407847241e+01	-6.766749250e+00	-1.139400239e+01	-7.377758908e+00
25	-6.771904013e+00	-7.707803907e+00	-1.139400239e+01	-7.377758908e+00
26	1.687965791e+01	-1.932824996e+01	-8.324272948e+00	-7.377758908e+00
27	1.767743977e+01	-1.456267289e+01	-8.324278167e+00	-7.377758908e+00
28	1.807341266e+01	1.830973147e+01	-8.324278167e+00	-7.377758908e+00
29	-1.876519140e+01	-2.068427355e+00	-1.139400239e+01	-7.377758908e+00
30	1.564829385e+00	5.908596246e+00	-8.349072677e+00	-7.377758908e+00
31	1.038337342e+01	1.363373036e+00	-8.324278167e+00	-7.377758908e+00
32	9.115024390e+00	1.302199469e+00	-8.324278167e+00	-7.377758908e+00
33	-1.680708338e+01	-1.438720754e+01	-1.139400239e+01	-7.377758908e+00
34	1.676052909e+01	-2.357524305e+00	-8.324278167e+00	-7.377758908e+00
35	-3.794558357e+00	-1.156960176e+01	-1.139338403e+01	-7.377758908e+00
36	-1.929181829e+01	1.523229516e+01	-1.139400239e+01	-7.377758908e+00
37	5.049658206e+00	1.947856288e+01	-8.324278167e+00	-7.377758908e+00
38	1.158268246e+01	1.348218692e+01	-8.324278167e+00	-7.377758908e+00
39	1.219266803e+00	-1.015996727e+01	1.327455643e+00	-7.377758908e+00
40	-1.739475667e+00	1.082841774e+01	-1.081905401e+01	-7.377758908e+00
41	-6.872326760e+00	7.779788959e+00	-1.141300769e+01	-7.377758908e+00
42	-1.278479619e+01	-5.470799777e+00	-1.139400239e+01	-7.377758908e+00
43	1.520002849e+01	1.011873375e+00	-8.324278167e+00	-7.377758908e+00
44	-8.548937900e+00	-1.323884235e+01	-1.139400239e+01	-7.377758908e+00
45	1.940140672e+01	1.472719954e+01	-8.324278167e+00	-7.377758908e+00
46	1.400433026e+01	-1.690454683e+00	-8.324278167e+00	-7.377758908e+00
47	1.270049818e+01	1.794921806e+01	-8.324278167e+00	-7.377758908e+00
48	1.711741648e+01	-1.365605038e+01	-8.324278167e+00	-7.377758908e+00
49	7.152512716e+00	-9.198101824e+00	-6.098263401e+00	-7.377758908e+00
0	7.170964390e-01	1.706398334e+01	-8.332368371e+00	-7.377758908e+00
1	1.129895540e+01	-1.239146674e+01	-8.319608621e+00	-7.377758908e+00
2	-1.367957615e+01	-4.933939883e+00	-1.139400239e+01	-7.377758908e+00
3	-3.153270342e+00	-1.733899889e+01	-1.139314561e+01	-7.377758908e+00
4	-3.712904278e+00	3.218749127e-01	-1.119317569e+01	-7.377758908e+00
5	1.654510850e+01	-1.638402724e+01	-8.324278166e+00	-7.377758908e+00
6	1.280391444e+01	-1.197312706e+01	-8.324277378e+00	-7.377758908e+00
7	-5.702172701e+00	1.960078628e+01	-2.316818451e+01	-7.377758908e+00
8	2.592759384e+00	1.387752562e+01	-8.324313550e+00	-7.377758908e+00
9	6.814747998e+00	1.867834652e+01	-8.324278167e+00	-7.377758908e+00
10	1.312937065e-01	1.274433211e+01	-8.427255625e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.563703011e+01	1.566728353e+01	-1.139400239e+01	-7.377758908e+00
13	8.989948128e-02	-1.354515760e+00	1.344233099e+00	-7.377758908e+00
14	1.630704708e+01	6.038219284e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-1.556641704e+01	1.621564079e+01	-1.139400240e+01	-7.377758908e+00
17	6.478052476e+00	-9.333277185e-01	-8.324277965e+00	-7.377758908e+00
18	1.416340807e+01	1.511786941e+01	-8.324278167e+00	-7.377758908e+00
19	1.125016571e+01	9.550255086e+00	-8.324278167e+00	-7.377758908e+00
20	-2.790657326e-01	1.096329568e+01	-8.658617276e+00	-7.377758908e+00
21	-1.982100595e+00	-2.548256128e-01	-5.876569899e+00	-7.377758908e+00
22	1.598877970e+01	3.050332987e+00	-8.324278167e+00	-7.377758908e+00
23	-1.517569872e+01	-8.758416759e+00	-1.139400239e+01	-7.377758908e+00
24	6.927551051e-01	-2.014307972e+00	2.000098739e+00	-7.377758908e+00
25	3.667178570e+00	1.949491647e+00	-8.324239272e+00	-7.377758908e+00
26	1.687965791e+01	-1.932824996e+01	-8.324272948e+00	-7.377758908e+00
27	1.978190868e+01	-1.527902424e+01	-8.324278167e+00	-7.377758908e+00
28	1.801544605e+01	1.349752857e+01	-8.324278167e+00	-7.377758908e+00
29	-4.934039487e+00	-3.962863644e-01	-1.139339819e+01	-7.377758908e+00
30	-2.526994813e+00	2.815138861e+00	-7.009185855e+00	-7.377758908e+00
