walker	cdf_0	cdf_1	log_l	log_p
0	-1.988312600e+01	1.763674064e+01	-1.137678112e+01	-7.377758908e+00
1	-1.792141268e+01	-1.859440385e+01	-1.137678112e+01	-7.377758908e+00
2	1.145269449e+01	1.850352190e+01	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.193878464e+01	1.772286297e+01	-1.148774479e+01	-7.377758908e+00
5	1.430186577e+01	1.345394990e+00	-7.816639694e+00	-7.377758908e+00
6	-8.881626463e+00	1.907714572e+01	-1.920254414e+01	-7.377758908e+00
7	1.759841840e+01	-1.443043338e+01	-7.816639694e+00	-7.377758908e+00
8	-1.323070275e+01	-6.261425679e+00	-1.137678112e+01	-7.377758908e+00
9	9.954312409e+00	-1.108352756e+01	-7.774418101e+00	-7.377758908e+00
0	-1.267839576e+01	1.147276469e+01	-1.137678113e+01	-7.377758908e+00
1	-1.792141268e+01	-1.859440385e+01	-1.137678112e+01	-7.377758908e+00
2	1.145269449e+01	1.850352190e+01	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.193878464e+01	1.772286297e+01	-1.148774479e+01	-7.377758908e+00
5	1.313933918e+01	-1.978072658e+00	-7.816639694e+00	-7.377758908e+00
6	-3.899033088e+00	1.893658857e+01	-1.402099273e+01	-7.377758908e+00
7	9.193783835e+00	-1.541570412e+01	-1.094593667e+00	-7.377758908e+00
8	-1.202283611e+01	-6.065228827e+00	-1.137678112e+01	-7.377758908e+00
9	4.012230904e-01	1.486188868e+00	-2.858188946e+00	-7.377758908e+00
0	-1.224390110e+01	1.093862056e+01	-1.137678113e+01	-7.377758908e+00
1	-1.792141268e+01	-1.859440385e+01	-1.137678112e+01	-7.377758908e+00
2	1.145269449e+01	1.850352190e+01	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.193878464e+01	1.772286297e+01	-1.148774479e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-3.899033088e+00	1.893658857e+01	-1.402099273e+01	-7.377758908e+00
7	9.193783835e+00	-1.541570412e+01	-1.094593667e+00	-7.377758908e+00
8	-1.108832354e+01	-3.189172807e+00	-1.137678112e+01	-7.377758908e+00
9	4.012230904e-01	1.486188868e+00	-2.858188946e+00	-7.377758908e+00
0	-1.192705565e+01	1.258677294e+01	-1.137678732e+01	-7.377758908e+00
1	-7.542137477e-01	-9.823643636e+00	-5.629945520e+00	-7.377758908e+00
2	4.622049771e+00	1.192994611e+01	-7.816639697e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.193878464e+01	1.772286297e+01	-1.148774479e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-2.555008984e+00	1.783143603e+01	-9.983820285e+00	-7.377758908e+00
7	9.193783835e+00	-1.541570412e+01	-1.094593667e+00	-7.377758908e+00
8	-7.674751187e+00	-1.891122473e+00	-1.137678112e+01	-7.377758908e+00
9	4.707791625e-01	1.206309569e+00	-2.430173334e+00	-7.377758908e+00
0	-7.394790818e+00	6.582198213e+00	-1.137714699e+01	-7.377758908e+00
1	2.901308275e+00	-1.133878958e+01	5.070230076e+00	-7.377758908e+00
2	1.167484142e+01	1.165002386e+01	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.189639287e+01	1.752786648e+01	-1.147284281e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-2.555008984e+00	1.783143603e+01	-9.983820285e+00	-7.377758908e+00
7	7.602908111e+00	-1.328751533e+01	3.320623967e-01	-7.377758908e+00
8	-7.674751187e+00	-1.891122473e+00	-1.137678112e+01	-7.377758908e+00
9	4.707791625e-01	1.206309569e+00	-2.430173334e+00	-7.377758908e+00
0	-7.418093777e+00	5.876907515e+00	-1.137684538e+01	-7.377758908e+00
1	2.901308275e+00	-1.133878958e+01	5.070230076e+00	-7.377758908e+00
2	1.453353350e+01	7.503286345e+00	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.316149801e+01	1.919748710e+01	-1.143104055e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-2.555008984e+00	1.783143603e+01	-9.983820285e+00	-7.377758908e+00
7	7.602908111e+00	-1.328751533e+01	3.320623967e-01	-7.377758908e+00
8	-7.832382421e+00	-6.662012007e+00	-1.137678112e+01	-7.377758908e+00
9	1.211126344e+00	-1.772694905e+00	1.447612406e+00	-7.377758908e+00
0	-9.036768637e+00	5.756981166e+00	-1.137678114e+01	-7.377758908e+00
1	2.928626769e+00	-1.157748607e+01	5.046545158e+00	-7.377758908e+00
2	1.453353350e+01	7.503286345e+00	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.362067471e+01	1.925662626e+01	-1.139697377e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-2.555008984e+00	1.783143603e+01	-9.983820285e+00	-7.377758908e+00
7	9.571510828e+00	-1.931836316e+01	2.897263865e+00	-7.377758908e+00
8	-7.200309855e+00	-1.317960974e+01	-1.137678112e+01	-7.377758908e+00
9	1.211126344e+00	-1.772694905e+00	1.447612406e+00	-7.377758908e+00
0	-9.036768637e+00	5.756981166e+00	-1.137678114e+01	-7.377758908e+00
1	2.928626769e+00	-1.157748607e+01	5.046545158e+00	-7.377758908e+00
2	1.719519910e+01	9.457128117e+00	-7.816639694e+00	-7.377758908e+00
3	2.314694197e+00	-6.213224503e+00	4.523483568e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.938518419e+01	4.656196806e-01	-7.816639694e+00	-7.377758908e+00
6	-1.886642794e+00	1.460164873e+01	-9.472732435e+00	-7.377758908e+00
7	9.571510828e+00	-1.931836316e+01	2.897263865e+00	-7.377758908e+00
8	-7.200309855e+00	-1.317960974e+01	-1.137678112e+01	-7.377758908e+00
9	1.553960990e+00	-2.024593840e+00	8.919134923e-01	-7.377758908e+00
0	-8.945499874e+00	5.334426980e+00	-1.137678113e+01	-7.377758908e+00
1	2.928626769e+00	-1.157748607e+01	5.046545158e+00	-7.377758908e+00
2	1.864756935e+01	1.159850077e+01	-7.816639694e+00	-7.377758908e+00
3	3.175302800e+00	-8.321706279e+00	4.960046775e+00	-7.377758908e+00
4	-1.669644253e+01	1.965276639e+01	-1.137678159e+01	-7.377758908e+00
5	1.673557941e+01	1.429625698e+00	-7.816639694e+00	-7.377758908e+00
6	-4.931830600e-01	7.697968358e+00	-8.723198762e+00	-7.377758908e+00
7	5.331886181e+00	-1.360531225e+01	5.388222553e+00	-7.377758908e+00
8	-5.171510060e+00	-1.213831111e+01	-1.137678092e+01	-7.377758908e+00
9	2.146683145e+00	-6.143566575e+00	4.578440770e+00	-7.377758908e+00
0	-1.161277163e+01	9.133331052e+00	-1.137678112e+01	-7.377758908e+00
1	4.346060402e+00	-1.359628838e+01	5.754029538e+00	-7.377758908e+00
